category,text
deportes,boca juniors celebrará sus elecciones de autoridades este domingo.
deportes,camisetas mundialistas de messi se subastan por millonaria cifra.
deportes, qué hacer para la copa américa 2024.
deportes,subastan las camisetas de messi en el mundial de qatar por us 78 millones.
deportes,lionel messi y linda caicedo son finalistas para los premios the best 2023.
deportes,se tatuó los resultados de argentina antes de que saliera campeón.
deportes,tecatito corona sancionado por monterrey.
deportes,champions league manchester city hace ronda perfecta y milan eliminado.
deportes,análisis el barcelona avanza con muchas dudas en su juego.
deportes,el ruso que regaló banderas durante el mundial.
deportes,el banderazo del fluminense en la previa del mundial de clubes.
deportes,juventus le hizo un homenaje a chiellini.
deportes,américa y tigres una final reñida en la liga mx.
deportes,luis enrique destaca la actuación del psg en champions.
deportes, puede el girona ganar la liga española.
deportes,lionel messi vs. cristiano ronaldo una vez más.
deportes,suspenden partido de laliga por muerte de aficionado en las gradas.
deportes, es lionel messi el atleta más importante en la historia del deporte de ee.uu..
deportes, sánchez bas se anima a bailar con su selección el dt de ecuador responde.
deportes, cuál es el grupo más parejo de la copa américa 2024.
deportes,la copa américa 2024 definió sus grupos y argentina defenderá su título.
deportes,sánchez bas el futbolista ecuatoriano está progresando.
deportes,así quedaron los grupos de la copa américa 2024.
deportes,esta goleada se repite en la copa américa. cuál es.
deportes,acusan a rubiales de tocar inapropiadamente a jugadoras de inglaterra.
deportes,sánchez bas habla de la copa américa y un posible juego vs. argentina.
deportes,sorteo copa américa 2024 cómo es cuándo y cómo ver.
deportes, es messi el deportista más destacado del 2023.
deportes,ronaldinho el más aplaudido del partido de leyendas de la conmebol.
deportes,el recorrido de argentina en la copa américa 2024.
deportes,lionel messi atleta del año para la revista time.
deportes,venezuela busca superarse en la copa américa.
deportes,lionel messi es el atleta del año para la revista time.
deportes,conoce los estadios donde se jugará la copa américa 2024.
deportes,elecciones en boca juniors lo que sabemos y cuándo se podría votar.
deportes, qué equipo se perfila como favorito a ganar el torneo apertura mexicano.
deportes,batista saber que venezuela es la única selección que no ha ido al mundial te da ganas de enfrentar el reto.
deportes,los equipos de la eurocopa presentados en contenedores.
deportes,lionel messi no descarta jugar la copa del mundo de 2026.
deportes,teo gutiérrez en medio de un escándalo por comportamiento indebido.
deportes,así quedaron los bombos para el sorteo de la copa américa.
deportes,la millonaria suma que costarían las camisetas mundialistas de messi.
deportes, quién crees que gane los equipos del partido de leyendas de la conmebol.
deportes, siempre ramos el defensa español hace historia en la champions.
deportes,el cara y cruz de los clubes españoles en la champions.
deportes,timothy weah y su apoyo para weston mckennie.
deportes,claudio echeverri la figura de argentina.
deportes,ancelotti confía en la calidad de su plantilla ante las varias lesiones que afectan al real madrid.
deportes,chicharito al checo sería mejor piloto que tú jugador de fútbol.
deportes,lillard se pone a la altura de lebron harden y curry.
deportes,ricky rubio negocia su desvinculación de los cavs.
deportes,mara miller y almansa caminos distintos pero un único destino la nba.
deportes,tiago splitter el baloncesto se ha globalizado ya no hay trucos ni secretos .
deportes,así regresó ja morant de los infiernos solo tienes que llamar al 12 .
deportes,la apuesta de michael jordan a la super bowl que terminó en amenaza a un jugador no la jodas..
deportes,garuba se consagra en la g league y espera a los warriors referente estadístico y semifinalista de copa.
deportes,me pregunto si curry está ya en la conversación por ser el mejor de la historia.
deportes,curry manda a dormir a los celtics y cambia la dinámica de golden state.
deportes,ja morant y un regreso soñado 25 partidos después.
deportes,polémica con las top models a pie de pista en los knicks emily ratajkowski vetada en el madison.
deportes,del todo ok josé luis al tenía ganas de pitarles una falta micros audios y un nuevo show en el deporte.
deportes,el jugador de la nba al que no dejan entrar en canadá por sus antecedentes penales.
deportes,el trance de james harden 21 puntos en sólo cuatro minutos.
deportes,regreso inminente de ja morant y falta que les hace a los grizzlies.
deportes,los knicks chafan el izado de la bandera de la copa de los lakers.
deportes,los pistons se acercan al récord de la infamia 24 derrotas seguidas.
deportes,con los clippers todo hace indicar que no pero y si sí.
deportes,doncic barre a jokic en el duelo de aspirantes a mvp pero los nuggets aplastan a los mavs.
deportes,anthony edwards se retracta de unos mensajes en los que incitaba a una mujer a abortar.
deportes,podrá alguien batir el récord de 268 partidos seguidos con al menos un triple de curry.
deportes,muere el ex jugador de la nba eric montross.
deportes,draymond green recibirá ayuda y seguirá suspendido tres semanas más.
deportes,giannis entra en los libros de historia de los bucks y de la nba.
deportes,la nba rendida a luka doncic jugué con muchos grandes pero nadie lo hace tan fácil .
deportes,los warriors sobreviven al peor partido de la vida de stephen curry.
deportes,wembanyama y los spurs vuelven a las andadas paliza ante los pelicans.
deportes,un ex jugador de la g league acusado de asesinato en las vegas.
deportes,los celtics ganan a los magic y siguen asustando en el este.
deportes,el unicornio de la nba es un pulpo acaricia un triple doble con 9 tapones .
deportes,así se anotan 12 triples en la nba entré en trance y todo me entraba .
deportes,un doncic monstruoso pulveriza un récord del legendario wilt chamberlain.
deportes,kareem abdul jabbar hospitalizado por una fuerte caída.
deportes,no hay dolor para darius garland jugar con una fractura de mandíbula.
deportes,aldama y los grizzlies sufren la venganza del bad boy dillon brooks.
deportes,la nba no puede permitirse un equipo como los pistons 22 derrotas seguidas.
deportes,brunson explota en una actuación histórica 50 puntos con nueve triples.
deportes, wembanyama vuelve a ganar rompe su racha de 18 derrotas a costa de los lakers.
deportes,ja morant a punto de volver tras su sanción de 25 partidos ha habido días horribles .
deportes,un cinturón negro y experto en kickboxing con el que nadie quiere pelear en la nba.
deportes,doncic tranquiliza a los mavericks sobre su futuro estoy feliz aquí .
deportes,los celtics cogen ritmo y se marchan en el este.
deportes,steve kerr la suspensión indefinida a draymond green tiene sentido se trata de su vida .
deportes,las mayores sanciones en la historia de la nba peleas armas agresión al entrenador.
deportes,los 64 de giannis entre las mejores anotaciones de la década.
deportes,debut agridulce del nuevo big 3 de los suns.
deportes,wembanyama fuera de toda lógica nueva exhibición sin premio.
deportes,los lakers no sabían como frenarle. incluso davis uno de los mejores defensores de la última década tenía problemas en adivinar los movimientos del francés. por el lado angelino con la ausencia de lebron.
deportes,que stephen curry haya sido uno de los jugadores más influyentes de la historia del baloncesto no hay ninguna duda. pero quizá sea hora de mirar hacia arriba hacia las leyendas de este deporte y comenzar otra conversación..
deportes,wardell stephen curry ii es un jugador de baloncesto estadounidense que pertenece a la plantilla de los golden state warriors de la nba.
deportes,stephen curry sigue sonriendo como un jugón. transcurridas 48 horas del partido en el que no anotó un solo triple la estrella de warriors se rehizo como cabía esperar y resultó crucial en el triunfo de su equipo ante boston celtics un triunfo que llegó en la prórroga..
negocios,ee.uu. lanza nueva operación multinacional para proteger el comercio en el mar rojo.
negocios,las prioridades de la cooperación entre países en el nuevo orden económico mundial.
negocios,emiratos árabes unidos anunció inversiones sociales por us 40 millones en la guajira .
negocios,el consejo privado de competitividad dice que colombia no aprovecha sus tratados .
negocios,importaciones la relación que tienen el dólar el gasoducto de vaca muerta y el fmi.
negocios,el cese de exportaciones de seguridad de israel golpearía inteligencia militar del país.
negocios,el año que viene la argentina gastará menos dólares por las importaciones de energía con la entrada de nuevos proyectos .
negocios,las exportaciones hacia palestina representan menos de 1% con bombones y confites.
negocios,de acuerdo con datos del ministerio de comercio las ventas hacia este estado de oriente medio sumaron us 393.500 en 2022. hasta el octavo mes de 2023 se han vendido us 306.855 .
negocios,las exportaciones registradas en agosto bajaron 10 1% contra el mismo mes de 2022 .
negocios,el grupo de combustibles y productos de las industrias extractivas impulsó la caída pues registró una disminución de 11 5% .
negocios,conozca qué es el dropshipping y cómo afectó la baja del dólar a este tipo de negocio .
negocios,dentro de los impactos positivos que tendría un dólar bajo se podría destacar la competitividad de precios y aumento en utilidades .
negocios,con déficit en balanza comercial con ee.uu. gremios advierten sobre renegociar tlc .
negocios,la naviera maersk prevé una contracción prolongada y profunda del comercio mundial .
negocios,argentina lanza disputa en contra de ee.uu. ante la organización mundial del comercio .
negocios,maría claudia lacouture presidente de amcham colombia habló sobre el estado de las relaciones comerciales con estados unidos .
negocios,más de 100 productos de reino unido pueden llegar a ee.uu. a través de colombia .
negocios,la cámara de comercio colombo británica y araújo ibarra lanzaron un estudio sobre las posibilidades del reino unido en colombia .
negocios,el pisco peruano logró un crecimiento superior a 1.000% en sus exportaciones .
negocios,la bebida llegó a 41 países cuyo ranking fue liderado por ee.uu. con us 1 7 millones con un alza de 21 4% este año subiría 35% .
negocios,las exportaciones sumaron us 4.778 millones en septiembre 26% más que en 2021.
negocios,a la cifra la jalonó un incremento de 40% en las ventas del grupo de combustibles que en el mes representó 55% del resultado .
negocios,las exportaciones aumentaron 32 2% en agosto y llegaron hasta us 4.582 millones.
negocios,los combustibles y productos de industrias extractivas volvieron a jalonar la canasta en el mes con us 2.473 millones 54% del total .
negocios,se empezarán a revisar las deudas entre comerciantes de ambos lados de la frontera.
negocios,en 2008 durante la época dorada en el comercio binacional la capital de norte de santander llegó a exportar cerca de 58% del neto de ese año .
negocios,globalización es antes que nada la relación entre vecinos por mayor flujo de comercio .
negocios,exportaciones mineroenergéticas a ee.uu. suman us 4.505 millones a corte de julio .
negocios,la ventas durante 2022 ya superaron las cifras prepandemia us 4.169 millones y presentaron un incremento de 83% versus 2021.
negocios,en julio las exportaciones se incrementaron 71 7% y llegaron hasta us 5.913 millones.
negocios,los combustibles y productos de industrias extractivas volvieron a jalonar la canasta con us 3.733 millones más de 63% del total.
negocios,así habrían sido las exportaciones del país en la última década sin el petróleo.
negocios,de 2011 a 2021 más de 67 4% de las ventas externas del país fueron mineroenergéticas y generaron ingresos por us 357.544 millones .
negocios,exportaciones de colombia a ee.uu. aumentaron 40 6% en el primer semestre del año.
negocios,en el ejercicio los no minero energéticos llegaron a us 3.842 millones mientras que los minero energéticos a us 3.471 millones .
negocios,el ministro de comercio germán umaña recalcó que además de una integración comercial se trabajará por el desarrollo social .
negocios,el ministro de comercio germán umaña dijo que se trabajará por una complementación industrial productiva y social entre países .
negocios, cuáles son los efectos de la reforma tributaria sobre el modelo de las zonas francas?.
negocios,aunque minhacienda dijo que hay temas que no son definitivos hoy la propuesta tiene unos cambios para estas zonas especiales .
negocios,en abril las exportaciones llegaron a us 5.421 millones creciendo 82 2% frente a 2021.
negocios,entre enero y abril de 2022 las exportaciones llegaron us 18.385 millones fob jalonadas por la industria extractiva .
negocios,los países de américa latina más cerrados al comercio internacional según la cepal .
negocios,la cepal midió los territorios más abiertos de la región luego de comparar la magnitud del comercio exterior de cada país con su pib .
negocios,ministerio de comercio exterior de perú pide eliminar el distanciamiento en aeropuertos .
negocios,rueda de negocios de la filbo dejó expectativas de ventas por casi us 2 3 millones .
negocios,durante los 14 días del evento se realizaron más de 979 citas de negocios. en total asistieron 76 compradores y 104 exportadores.
negocios,la agenda abrió la conversación a temáticas de interés como negocios transformación digital turismo formación y sostenibilidad .
negocios,los teléfonos móviles lideran las cifras de importaciones desde china según el dane.
negocios,la contribución más importante se presentó en las compras en china y estados unidos que aportaron en su conjunto 25 1 pp a la variación total del mes.
negocios,comercios de frontera piden medidas para reforzar ventas ante apertura de argentina .
negocios,la habilitación oficial del paso fronterizo entre nanawa y clorinda trajo varias dudas y expectativas a los comerciantes paraguayos.
negocios,la omc recortó a 3% la perspectiva del comercio mundial por la conflicto en ucrania .
negocios,el organismo de comercio con sede en ginebra también dijo el martes que espera un crecimiento del comercio del 3 4% en 2023 .
negocios,los países con las mayores exportaciones e importaciones de armas en todo el mundo .
negocios,ee.uu. rusia y francia son los que más ventas de armas registran en el globo. los grandes importadores son india y arabia saudita.
negocios,déficit comercial de estados unidos tocó récord durante 2021 por las importaciones .
negocios,los mayores ahorros impulsados por el estímulo del gobierno hicieron que los estadounidenses invirtieran más en sus viviendas .
negocios,méxico asumirá la presidencia de la alianza del pacífico para destrabar negociaciones .
negocios,para mejorar la productividad recursos de programas deben multiplicarse y escalarse.
negocios,expertos concluyen que hay que reindustrializar el país aumentando por 10 los recursos para programas y herramientas que impulsen el desarrollo y la productividad.
negocios,los retos que debe enfrentar colombia para internacionalizar aun más su economía .
negocios,expertos coinciden en que se debe avanzar en la diversificación de la canasta exportadora y aprovechar aun más la tecnología .
negocios,colombia necesita del mercado extranjero para lograr crecimiento estable de 6% .
negocios,el viceministro de comercio exterior andrés cárdenas aseguró que el crecimiento en colombia ha sido importante desde 1991 .
negocios,definida la hoja de ruta para impulsar el comercio internacional y la reactivación .
negocios,el informe de la misión propone cuatro canales para mejorar la actividad comercial teniendo a la tecnología como eje central.
negocios,colombia espera llegar a us 25.500 millones de exportaciones no mineras en 2022.
negocios,esa es la meta a cumplir con el informe de la misión de internacionalización que busca mejorar el comercio internacional .
negocios,misión de internacionalización propone más tecnología y revisar barreras arancelarias.
negocios,ministro de economía todos tenemos que pagar parte de la cuenta para sacar adelante este país .
negocios,recorte de 1.000 millones de gastos del estado irá por empresas públicas ministro de economía explica las cifras y medidas.
negocios,desde cuándo existe el décimo tercer sueldo que perciben los empleados ecuatorianos .
negocios,estos son los préstamos que ofrece el gobierno de estados unidos cómo saber para cuáles califica .
negocios,estas son las entidades no autorizadas para actividades financieras en ecuador.
negocios,la caja fiscal que recibe daniel noboa está en 179 7 millones que no son suficientes para pago de sueldos y otros pendientes.
negocios,ventas minoristas de ee.uu. suben en diciembre y las cifras de noviembre se revisan al alza .
negocios,fondo monetario internacional advierte que bajas tasas globales estimulan riesgo.
negocios,las bajas tasas en las economías internacionales para dinamizar la economía estimulan el riesgo para el rendimiento .
negocios,bancolombia busca beneficiar a 50% de las pyme que venden al exterior .
negocios,acuerdo comercial entre china y ee.uu. no necesita firmarse este mes secretario de comercio.
negocios,la organización había reducido previamente su pronóstico de crecimiento comercial a 2 6% para este año y a 3% para 2020 .
negocios,ford cierra su reestructuración en europa recortará 12.000 empleos hasta 2020.
negocios,los recortes afectan a alemania 5.000 a gran bretaña 3.000 rusia 2.000 y a francia 1.000 . el resto de países en los que opera la compañía alemana deberán asumir otros 1.000 empleos. .
negocios,el aumento de las medidas comerciales restrictivas entre octubre y mayo alcanza unos us 335.900 millones. .
negocios,omc advierte del aumento de las barreras comerciales antes de la cumbre del g20 .
negocios,acelerap busca emprendedores que quieran expandirse en la alianza del pacífico.
negocios,ikea estudia lanzar una plataforma digital de ventas con productos de marcas rivales .
negocios,estudio advierte que inició etapa de desaceleración económica mundial .
negocios,estado unidos dice que el 1 de marzo es fecha límite para acuerdo comercial con china .
negocios,en la actual vigencia el crecimiento acumulado es de 8% respecto al mismo periodo del año pasado..
negocios,la entidad empezó financiando proyectos de comercio internacional.
negocios,uruguay estableció el aumento de su salario mínimo y estaría por debajo de inflación.
negocios,por qué el dólarse mueve casi 900 más barato que en diciembre del año pasado.
negocios,el dólar cerró la jornada con alza de 22 77 pese a reunión del banco de la república .
negocios,scotiabank colpatria otorgó un crédito a parque arauco por total de us 52 millones .
negocios,accionistas de grupo nutresa elegirán nueva junta directiva antes de terminar 2023 .
negocios,dólar a 4.000 ipc y tasas más bajas las estimaciones del mercado para fin de año .
negocios,el dólar terminó este martes levemente a la baja con un precio promedio de 3.925 91 .
negocios,grupo calleja comenzó su opa por el éxito pero las acciones reaccionaron a la baja .
politica,contraloría revisará declaraciones patrimoniales de exfuncionarios de guillermo lasso.
politica,wilman terán renuncia y la asamblea inicia el trámite para juicio político.
politica,jorge glas pedirá asilo diplomático a méxico este miércoles dice su abogado.
politica,noboa vence a la correísta gonzález en las presidenciales de ecuador.
politica,el adelanto electoral salva de una moción de censura al presidente guillermo lasso y moviliza a la oposición de izquierdas.
politica,un hecho inédito que sume a ecuador en la inestabilidad y que puede beneficiar a rafael correa.
politica, qué sucede con la politica en el ecuador? la política de ecuador está definida por la actual constitución vigente del país..
politica,la situación política actual muestra un patrón de votación que no necesariamente refleja un giro ideológico a la derecha sino un voto de castigo.
politica,si antes de metástasis ya había evidencias que hablaban de las relaciones del correísmo con las mafias ahora esas relaciones quedaron evidenciadas.
politica,la señora fiscal viene investigando al presidente de la judicatura wt por delitos como delincuencia organizada.
politica,eso estipula ordenanza que aprobó el concejo. en la sesión hubo ediles que criticaron supuesta politiquería otros instaron a salir a las calles .
politica,la segunda iniciativa legal del gobierno fue entregada a la asamblea a pocas horas de que se publicó en el registro oficial la ley de eficiencia económica..
politica,la ministra de producción y comercio exterior sonsoles garcía compareció ante la comisión de relaciones internacionales que analiza el convenio comercial.
politica,wilman terán renunció a su vocalía. la judicatura debe informar en un plazo de tres días la ausencia definitiva de terán y el cpccs pedir la terna a la cnj..
politica,el grupo expresó su rechazo a la primera ley del gobierno de daniel noboa que fue aprobada el martes por la asamblea nacional con 107 votos..
politica,la posición política del psc y adn es dar paso a la autorización de juicio político a glas mientras que en rc considera que se debe devolver el expediente.
politica,el martes último de forma unánime un tribunal de la corte nacional negó el habeas corpus solicitado por wilman terán presidente de la judicatura..
politica,mónica palencia negó que el gobierno tenga algún acuerdo por impunidad con alguna bancada legislativa..
politica,la funcionaria se reunió con el mandatario de ese país isaac herzog en jerusalén el 19 de diciembre pasado..
politica,para la fiscalía en el caso metástasis operó una empresa criminal que buscó beneficiar con fallos judiciales al narcotraficante leandro norero y su familia..
politica,según el jurista el exmandatario teme por su vida y afirma que la fiscal lo persigue en venganza por el juicio político que se le planteó en la asamblea..
politica,glas ingresó el domingo a la embajada de méxico en quito donde está en calidad de huésped ..
politica,el juicio político presentado por la revolución ciudadana en contra de diana salazar está en manos de la comisión de fiscalización presidida por pamela aguirre..
politica,además fueron removidos de sus cargos 15 directores provinciales de la judicatura y varios funcionarios de alto rango..
politica,guarda similitudes con el decreto que expidió el 24 de mayo del 2021 el exmandatario guillermo lasso..
politica,el organismo concluyó que hubo abuso del derecho de dos abogados de jorge glas y que se desnaturalizaron estos recursos. ordenó correctivos al snai..
politica,tribunal de la corte nacional de justicia determinó que no se violaron los derechos del presidente del consejo de la judicatura.
politica,el presidente de la corte iván saquicela enfatizó que no hará pronunciamientos sobre el proceso en el que se investiga a wilman terán vocal de la judicatura..
politica,en esta causa llevada adelante por la fiscal diana salazar un total de 31 personas son procesados por presunta delincuencia organizada..
politica,el mandatario agradeció a las bancadas de los movimientos políticos que dieron su respaldo..
politica,la propuesta pasará a conocimiento del ejecutivo para su sanción o veto en un plazo de 30 días..
politica,el presidente de la judicatura wilman terán es uno de los 31 procesados por el delito de delincuencia organizada parte del caso metástasis..
politica,el acto de colocación de la primera piedra lo encabezaron el presidente y el vicepresidente del legislativo henry kronfle y eckenner recalde.
politica,el acto de colocación de la primera piedra lo encabezaron el presidente y el vicepresidente del legislativo henry kronfle y eckenner recalde.
politica,los procesos fueron planteados en la anterior asamblea nacional y quedaron en suspenso tras la muerte cruzada..
politica,la fiscal general diana salazar dispuso que el expediente del caso sea público y se suba al sitio institucional..
politica,la resolución planteada por el movimiento construye obtuvo 74 votos a favor 46 votos en contra y seis abstenciones.
politica,la jueza constitucional patricia segarra aceptó una acción de protección planteada por el colegio de abogados de pichincha por posible falta de transparencia.
politica,daniel noboa promete a las fuerzas armadas que no pactará con ningún delincuente .
politica,los legisladores están convocados para este martes 19 de diciembre a las 08 30 para conocer y resolver sobre el informe para segundo y definitivo debate.
politica,el exvicepresidente jorge glas mantiene una pena única de ocho años de cárcel por los dos casos de corrupción en los que se le sentenció..
politica,las convenciones internacionales señalan que el asilo es solo para perseguidos políticos pero esa condición la determina el país asilante..
politica,jorge glas podría recibir asilo político en la embajada de méxico a pesar de que su captura está siendo solicitada por la fiscalía..
politica,el presidente de la asamblea henry kronfle convocó al pleno para este 18 de diciembre para conocer la resolución de la mesa de fiscalización sobre este juicio.
